,Planet_Name,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name,Rs,Signal Size_mu2.3,Signal Size_mu20,SNR_HD209458b,SNR_LTT1445Ab,atmSNR,atmNtran_5s,Int Ntran_5s,Hours_5s,atmNtran_4s,Int Ntran_4s,Hours_4s
25,K2-3 d,0.14,0.011654,367,308,3.175,44.5631,3.984,8.6,45,3896,,TRUE,exoplanets.org,0.56,9.966969956,1.146201545,0.002671151,0.107664811,0.439813654,129.2416794,129,1465.6464,82.71467481,83,943.0128
26,K2-3 d,0.14,0.00881,365,307,3.072,44.5565,4.17,8.6,45,3896,4.73,TRUE,nexsci,0.56,13.14165051,1.511289809,0.003603242,0.145234204,0.593285638,71.02517931,71,838.368,45.45611476,45,531.36
27,TOI 700.03,0.09,0.00348,494,416,2.999,9.977,1.9739,8.6,31.07,3461,4.8,TRUE,nexsci,1,3.755960432,0.43193545,0.000708531,0.028558445,0.116662016,1836.881148,1837,12009.13032,1175.603935,1176,7687.93536
28,TOI 700.02,0.1,0.00495,318,268,3.072,37.4248,3.2827,8.6,31.07,3461,4.8,TRUE,nexsci,1,2.333506358,0.268353231,0.000567675,0.022881029,0.093469621,2861.53491,2862,27699.80976,1831.382343,1831,17721.29688
29,LHS 1140 b,0.15,0.02196,276,232,3.361,24.737,1.971770276,8.8,14.99,3216,,TRUE,nexsci,0.21,34.84738794,4.007449613,0.005992029,0.241517919,0.986607203,25.68333668,26,169.8384652,16.43733547,16,104.5159786
30,LHS 1140 b,0.13,0.021229,261,220,3.508,24.7371,1.971778247,8.8,12.47,3131,,TRUE,exoplanets.org,0.21,22.25174143,2.558950264,0.003826208,0.154221176,0.629997657,62.98862679,63,411.532871,40.31272114,40,261.2907117
31,LHS 1140 c,0.11,0.00569,517,435,3.036,3.7779,1.053902536,8.8,14.99,3216,,TRUE,nexsci,0.21,99.4479534,11.43651464,0.012501773,0.503903116,2.058457803,5.900055152,6,25.97619652,3.776035297,4,17.31746434
32,TOI 1266.02,0.15,0.010916376,424,356,,18.7954,1.9269,8.8,36.01,3618,4.794,TRUE,toi,0.435666,24.99293991,2.87418809,0.004248371,0.171237115,0.699508228,51.09217062,51,327.65256,32.6989892,33,212.01048
33,TOI 1640.01,0.11,0.006447453,729,613,,1.9495,0.6758,8.8,18.23,3414,4.973,TRUE,toi,0.260187,80.56724766,9.265233481,0.008110417,0.326902762,1.33540659,14.01886903,14,47.90688,8.972076177,9,30.79728
34,TOI 2142.01,0.13,0.008561783,486,409,,9.3017,2.2244,8.8,27.75,3472,4.86,TRUE,toi,0.363966,34.14655641,3.926853988,0.006236327,0.251364721,1.026831658,23.71054348,24,171.32544,15.17474783,15,107.0784
