,Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name,Rs,Signal Size_mu2.3,Signal Size_mu20,SNR_HD209458b,SNR_LTT1445Ab,atmSNR,atmNtran
10,TOI 175.01,0.0,0.005,,0.12,0.007473866873176993,626,526,,3.6906,1.208,7.1,10.62,3429,4.91,True,toi,0.31,54.543139241083686,6.272461012724624,0.016060133348810745,0.6473282592537729,2.644353376258396,3.5752056339238
11,TOI 175.02,0.0,0.001,,0.13,0.008561782951905326,495,416,,7.4508,0.8458,7.1,10.62,3429,4.91,True,toi,0.313,46.962357678811046,5.400671133063272,0.011570690631727578,0.466374398164931,1.9051519793212623,6.887803616326597
12,TOI 175.03,0.0,0.003,,0.08,0.002069640198982032,737,620,,2.2531,1.0542,7.1,10.62,3429,4.91,True,toi,0.31416,66.97988787294132,7.702687105388252,0.018423895925871032,0.7426033283372407,3.0335545999073568,2.716666807515136
13,TOI 910.01,0.0,0.003,,0.08,0.002069640198982032,719,604,,2.029,0.6995,7.7,12.48,3312,4.94,True,toi,0.27899999999999997,82.73381203117586,9.51438838358522,0.014062173250057134,0.5667974190238292,2.3153827246442304,4.663311553149113
14,TOI 198.01,0.0,0.0,,0.14,0.009709729693033964,434,365,,20.4273,2.1786,7.9,23.73,3782,4.784,True,toi,0.444,22.551907669480023,2.5934693819902024,0.0061694661258727065,0.24866977633669696,1.0158227348013498,24.227251732753786
15,TOI 2013.01,,,,0.1,0.004605137141274627,693,583,,2.6163,1.1349,7.9,15.81,3352,4.898,True,toi,0.325635,51.45685331143054,5.917538130814508,0.010160090404040891,0.4095179966607047,1.6728920476245954,8.933140720460822
16,LHS 1815 b,,,,0.1,0.02737,735,618,3.858,3.8143,1.6780369282394845,8.0,29.87,3643,4.77,True,nexsci,0.5,3.892719067722386,0.4476626927880743,0.0008925434536183926,0.035975330191260736,0.1469601929057394,1157.5521925944977
17,TOI 704.01,0.0,0.002,,0.1,0.004605137141274627,751,632,,3.8143,1.3359999999999999,8.0,29.84,3596,4.734,True,toi,0.5,23.659953947290116,2.720894703938362,0.0048405272974609455,0.19510486253638684,0.7970086190386223,39.35627374795734
18,GJ 1132 b,0.0,0.006,0.155,0.11,0.00528,694,584,3.056,1.6289,0.778,8.3,12.04,3270,,True,exoplanets.org,0.21,143.87912367029253,16.546099222083637,0.019564246768829358,0.7885669146959711,3.221317088312801,2.4092011167994074
19,TOI 270.03,0.0,0.003,,0.12,0.007473866873176993,700,589,,3.3601,1.3933,8.3,22.48,3532,4.851,True,toi,0.415,34.07978726375531,3.91917553533186,0.006201471372573965,0.2499597967981801,1.0210925031360396,23.977827607806166
20,TOI 667.01,0.0,0.008,,0.13,0.008561782951905326,709,597,,1.6287,0.799,8.3,12.61,3261,5.02,True,toi,0.26,97.67262765998228,11.23235218089796,0.01345927946545895,0.5424968621341342,2.2161142951610175,5.090444400415309
21,TOI 696.02,0.0,0.0,,0.1,0.004605137141274627,418,352,,14.7756,1.4213,8.3,19.88,3563,4.886,True,toi,0.361,25.279302394427553,2.907119775359168,0.004646046077291064,0.1872659992482784,0.7649866513497201,42.7201033510851
22,TOI 270.02,0.0,0.002,0.058,0.11,0.00657,684,575,3.1210000000000004,3.3601,2.128,8.3,22.45,3386,,True,nexsci,0.415,29.151689567750477,3.352444300291304,0.006555790882904002,0.26424118704943705,1.0794323670130004,21.456018550701415
